,X,Y
194,194,391
195,195,393
196,196,395
197,197,397
198,198,399
199,199,401
200,200,403
201,201,405
202,202,407
203,203,409
204,204,411
205,205,413
206,206,415
207,207,417
208,208,419
209,209,421
210,210,423
211,211,425
212,212,427
213,213,429
214,214,431
215,215,433
216,216,435
217,217,437
218,218,439
219,219,441
220,220,443
221,221,445
222,222,447
223,223,449
224,224,451
225,225,453
226,226,455
227,227,457
228,228,459
229,229,461
230,230,463
231,231,465
232,232,467
233,233,469
234,234,471
235,235,473
236,236,475
237,237,477
238,238,479
239,239,481
240,240,483
241,241,485
242,242,487
243,243,489
244,244,491
245,245,493
246,246,495
247,247,497
248,248,499
249,249,501
250,250,503
251,251,505
252,252,507
253,253,509
254,254,511
255,255,513
256,256,515
257,257,517
258,258,519
259,259,521
260,260,523
261,261,525
262,262,527
263,263,529
264,264,531
265,265,533
266,266,535
267,267,537
268,268,539
269,269,541
270,270,543
271,271,545
272,272,547
273,273,549
274,274,551
275,275,553
276,276,555
277,277,557
278,278,559
279,279,561
280,280,563
281,281,565
282,282,567
283,283,569
284,284,571
285,285,573
286,286,575
287,287,577
288,288,579
289,289,581
290,290,583
291,291,585
292,292,587
293,293,589
294,294,591
295,295,593
296,296,595
297,297,597
298,298,599
299,299,601
300,300,603
301,301,605
302,302,607
303,303,609
304,304,611
305,305,613
306,306,615
307,307,617
308,308,619
309,309,621
310,310,623
311,311,625
312,312,627
313,313,629
314,314,631
315,315,633
316,316,635
317,317,637
318,318,639
319,319,641
320,320,643
321,321,645
322,322,647
323,323,649
324,324,651
325,325,653
326,326,655
327,327,657
328,328,659
329,329,661
330,330,663
331,331,665
332,332,667
333,333,669
334,334,671
335,335,673
336,336,675
337,337,677
338,338,679
339,339,681
340,340,683
341,341,685
342,342,687
343,343,689
344,344,691
345,345,693
346,346,695
347,347,697
348,348,699
349,349,701
350,350,703
351,351,705
352,352,707
353,353,709
354,354,711
355,355,713
356,356,715
357,357,717
358,358,719
359,359,721
360,360,723
361,361,725
362,362,727
363,363,729
364,364,731
365,365,733
366,366,735
367,367,737
368,368,739
369,369,741
370,370,743
371,371,745
372,372,747
373,373,749
374,374,751
375,375,753
376,376,755
377,377,757
378,378,759
379,379,761
380,380,763
381,381,765
382,382,767
383,383,769
384,384,771
385,385,773
386,386,775
387,387,777
388,388,779
389,389,781
390,390,783
391,391,785
392,392,787
393,393,789
394,394,791
395,395,793
396,396,795
397,397,797
398,398,799
399,399,801
400,400,803
401,401,805
402,402,807
403,403,809
404,404,811
405,405,813
406,406,815
407,407,817
408,408,819
409,409,821
410,410,823
411,411,825
412,412,827
413,413,829
414,414,831
415,415,833
416,416,835
417,417,837
418,418,839
419,419,841
420,420,843
421,421,845
422,422,847
423,423,849
424,424,851
425,425,853
426,426,855
427,427,857
428,428,859
429,429,861
430,430,863
431,431,865
432,432,867
433,433,869
434,434,871
435,435,873
436,436,875
437,437,877
438,438,879
439,439,881
440,440,883
441,441,885
442,442,887
443,443,889
444,444,891
445,445,893
446,446,895
447,447,897
448,448,899
449,449,901
450,450,903
451,451,905
452,452,907
453,453,909
454,454,911
455,455,913
456,456,915
457,457,917
458,458,919
459,459,921
460,460,923
461,461,925
462,462,927
463,463,929
464,464,931
465,465,933
466,466,935
467,467,937
468,468,939
469,469,941
470,470,943
471,471,945
472,472,947
473,473,949
474,474,951
475,475,953
476,476,955
477,477,957
478,478,959
479,479,961
480,480,963
481,481,965
482,482,967
483,483,969
484,484,971
485,485,973
486,486,975
487,487,977
488,488,979
489,489,981
490,490,983
491,491,985
492,492,987
493,493,989
494,494,991
495,495,993
496,496,995
497,497,997
498,498,999
499,499,1001
500,500,1003
501,501,1005
502,502,1007
503,503,1009
504,504,1011
505,505,1013
506,506,1015
507,507,1017
508,508,1019
509,509,1021
510,510,1023
511,511,1025
512,512,1027
513,513,1029
514,514,1031
515,515,1033
516,516,1035
517,517,1037
518,518,1039
519,519,1041
520,520,1043
521,521,1045
522,522,1047
523,523,1049
524,524,1051
525,525,1053
526,526,1055
527,527,1057
528,528,1059
529,529,1061
530,530,1063
531,531,1065
532,532,1067
533,533,1069
534,534,1071
535,535,1073
536,536,1075
537,537,1077
538,538,1079
539,539,1081
540,540,1083
541,541,1085
542,542,1087
543,543,1089
544,544,1091
545,545,1093
546,546,1095
547,547,1097
548,548,1099
549,549,1101
550,550,1103
551,551,1105
552,552,1107
553,553,1109
554,554,1111
555,555,1113
556,556,1115
557,557,1117
558,558,1119
559,559,1121
560,560,1123
561,561,1125
562,562,1127
563,563,1129
564,564,1131
565,565,1133
566,566,1135
567,567,1137
568,568,1139
569,569,1141
570,570,1143
571,571,1145
572,572,1147
573,573,1149
574,574,1151
575,575,1153
576,576,1155
577,577,1157
578,578,1159
579,579,1161
580,580,1163
581,581,1165
582,582,1167
583,583,1169
584,584,1171
585,585,1173
586,586,1175
587,587,1177
588,588,1179
589,589,1181
590,590,1183
591,591,1185
592,592,1187
593,593,1189
594,594,1191
595,595,1193
596,596,1195
597,597,1197
598,598,1199
599,599,1201
600,600,1203
601,601,1205
602,602,1207
603,603,1209
604,604,1211
605,605,1213
606,606,1215
607,607,1217
608,608,1219
609,609,1221
610,610,1223
611,611,1225
612,612,1227
613,613,1229
614,614,1231
615,615,1233
616,616,1235
617,617,1237
618,618,1239
619,619,1241
620,620,1243
621,621,1245
622,622,1247
623,623,1249
624,624,1251
625,625,1253
626,626,1255
627,627,1257
628,628,1259
629,629,1261
630,630,1263
631,631,1265
632,632,1267
633,633,1269
634,634,1271
635,635,1273
636,636,1275
637,637,1277
638,638,1279
639,639,1281
640,640,1283
641,641,1285
642,642,1287
643,643,1289
644,644,1291
645,645,1293
646,646,1295
647,647,1297
648,648,1299
649,649,1301
650,650,1303
651,651,1305
652,652,1307
653,653,1309
654,654,1311
655,655,1313
656,656,1315
657,657,1317
658,658,1319
659,659,1321
660,660,1323
661,661,1325
662,662,1327
663,663,1329
664,664,1331
665,665,1333
666,666,1335
667,667,1337
668,668,1339
669,669,1341
670,670,1343
671,671,1345
672,672,1347
673,673,1349
674,674,1351
675,675,1353
676,676,1355
677,677,1357
678,678,1359
679,679,1361
680,680,1363
681,681,1365
682,682,1367
683,683,1369
684,684,1371
685,685,1373
686,686,1375
687,687,1377
688,688,1379
689,689,1381
690,690,1383
691,691,1385
692,692,1387
693,693,1389
694,694,1391
695,695,1393
696,696,1395
697,697,1397
698,698,1399
699,699,1401
700,700,1403
701,701,1405
702,702,1407
703,703,1409
704,704,1411
705,705,1413
706,706,1415
707,707,1417
708,708,1419
709,709,1421
710,710,1423
711,711,1425
712,712,1427
713,713,1429
714,714,1431
715,715,1433
716,716,1435
717,717,1437
718,718,1439
719,719,1441
720,720,1443
721,721,1445
722,722,1447
723,723,1449
724,724,1451
725,725,1453
726,726,1455
727,727,1457
728,728,1459
729,729,1461
730,730,1463
731,731,1465
732,732,1467
733,733,1469
734,734,1471
735,735,1473
736,736,1475
737,737,1477
738,738,1479
739,739,1481
740,740,1483
741,741,1485
742,742,1487
743,743,1489
744,744,1491
745,745,1493
746,746,1495
747,747,1497
748,748,1499
749,749,1501
750,750,1503
751,751,1505
752,752,1507
753,753,1509
754,754,1511
755,755,1513
756,756,1515
757,757,1517
758,758,1519
759,759,1521
760,760,1523
761,761,1525
762,762,1527
763,763,1529
764,764,1531
765,765,1533
766,766,1535
767,767,1537
768,768,1539
769,769,1541
770,770,1543
771,771,1545
772,772,1547
773,773,1549
774,774,1551
775,775,1553
776,776,1555
777,777,1557
778,778,1559
779,779,1561
780,780,1563
781,781,1565
782,782,1567
783,783,1569
784,784,1571
785,785,1573
786,786,1575
787,787,1577
788,788,1579
789,789,1581
790,790,1583
791,791,1585
792,792,1587
793,793,1589
794,794,1591
795,795,1593
796,796,1595
797,797,1597
798,798,1599
799,799,1601
800,800,1603
801,801,1605
802,802,1607
803,803,1609
804,804,1611
805,805,1613
806,806,1615
807,807,1617
808,808,1619
809,809,1621
810,810,1623
811,811,1625
812,812,1627
813,813,1629
814,814,1631
815,815,1633
816,816,1635
817,817,1637
818,818,1639
819,819,1641
820,820,1643
821,821,1645
822,822,1647
823,823,1649
824,824,1651
825,825,1653
826,826,1655
827,827,1657
828,828,1659
829,829,1661
830,830,1663
831,831,1665
832,832,1667
833,833,1669
834,834,1671
835,835,1673
836,836,1675
837,837,1677
838,838,1679
839,839,1681
840,840,1683
841,841,1685
842,842,1687
843,843,1689
844,844,1691
845,845,1693
846,846,1695
847,847,1697
848,848,1699
849,849,1701
850,850,1703
851,851,1705
852,852,1707
853,853,1709
854,854,1711
855,855,1713
856,856,1715
857,857,1717
858,858,1719
859,859,1721
860,860,1723
861,861,1725
862,862,1727
863,863,1729
864,864,1731
865,865,1733
866,866,1735
867,867,1737
868,868,1739
869,869,1741
870,870,1743
871,871,1745
872,872,1747
873,873,1749
874,874,1751
875,875,1753
876,876,1755
877,877,1757
878,878,1759
879,879,1761
880,880,1763
881,881,1765
882,882,1767
883,883,1769
884,884,1771
885,885,1773
886,886,1775
887,887,1777
888,888,1779
889,889,1781
890,890,1783
891,891,1785
892,892,1787
893,893,1789
894,894,1791
895,895,1793
896,896,1795
897,897,1797
898,898,1799
899,899,1801
900,900,1803
901,901,1805
902,902,1807
903,903,1809
904,904,1811
905,905,1813
906,906,1815
907,907,1817
908,908,1819
909,909,1821
910,910,1823
911,911,1825
912,912,1827
913,913,1829
914,914,1831
915,915,1833
916,916,1835
917,917,1837
918,918,1839
919,919,1841
920,920,1843
921,921,1845
922,922,1847
923,923,1849
924,924,1851
925,925,1853
926,926,1855
927,927,1857
928,928,1859
929,929,1861
930,930,1863
931,931,1865
932,932,1867
933,933,1869
934,934,1871
935,935,1873
936,936,1875
937,937,1877
938,938,1879
939,939,1881
940,940,1883
941,941,1885
942,942,1887
943,943,1889
944,944,1891
945,945,1893
946,946,1895
947,947,1897
948,948,1899
949,949,1901
950,950,1903
951,951,1905
952,952,1907
953,953,1909
954,954,1911
955,955,1913
956,956,1915
957,957,1917
958,958,1919
959,959,1921
960,960,1923
961,961,1925
962,962,1927
963,963,1929
964,964,1931
965,965,1933
966,966,1935
967,967,1937
968,968,1939
969,969,1941
970,970,1943
971,971,1945
972,972,1947
973,973,1949
974,974,1951
975,975,1953
976,976,1955
977,977,1957
978,978,1959
979,979,1961
980,980,1963
981,981,1965
982,982,1967
983,983,1969
984,984,1971
985,985,1973
986,986,1975
987,987,1977
988,988,1979
989,989,1981
990,990,1983
991,991,1985
992,992,1987
993,993,1989
994,994,1991
995,995,1993
996,996,1995
997,997,1997
998,998,1999
999,999,2001
1000,1000,2003
1001,1001,2005
1002,1002,2007
1003,1003,2009
1004,1004,2011
1005,1005,2013
1006,1006,2015
1007,1007,2017
1008,1008,2019
1009,1009,2021
1010,1010,2023
1011,1011,2025
1012,1012,2027
1013,1013,2029
1014,1014,2031
1015,1015,2033
1016,1016,2035
1017,1017,2037
1018,1018,2039
1019,1019,2041
1020,1020,2043
1021,1021,2045
1022,1022,2047
1023,1023,2049
1024,1024,2051
1025,1025,2053
1026,1026,2055
1027,1027,2057
1028,1028,2059
1029,1029,2061
1030,1030,2063
1031,1031,2065
1032,1032,2067
1033,1033,2069
1034,1034,2071
1035,1035,2073
1036,1036,2075
1037,1037,2077
1038,1038,2079
1039,1039,2081
1040,1040,2083
1041,1041,2085
1042,1042,2087
1043,1043,2089
1044,1044,2091
1045,1045,2093
1046,1046,2095
1047,1047,2097
1048,1048,2099
1049,1049,2101
1050,1050,2103
1051,1051,2105
1052,1052,2107
1053,1053,2109
1054,1054,2111
1055,1055,2113
1056,1056,2115
1057,1057,2117
1058,1058,2119
1059,1059,2121
1060,1060,2123
1061,1061,2125
1062,1062,2127
1063,1063,2129
1064,1064,2131
1065,1065,2133
1066,1066,2135
1067,1067,2137
1068,1068,2139
1069,1069,2141
1070,1070,2143
1071,1071,2145
1072,1072,2147
1073,1073,2149
1074,1074,2151
1075,1075,2153
1076,1076,2155
1077,1077,2157
1078,1078,2159
1079,1079,2161
1080,1080,2163
1081,1081,2165
1082,1082,2167
1083,1083,2169
1084,1084,2171
1085,1085,2173
1086,1086,2175
1087,1087,2177
1088,1088,2179
1089,1089,2181
1090,1090,2183
1091,1091,2185
1092,1092,2187
1093,1093,2189
1094,1094,2191
1095,1095,2193
1096,1096,2195
1097,1097,2197
1098,1098,2199
1099,1099,2201
1100,1100,2203
1101,1101,2205
1102,1102,2207
1103,1103,2209
1104,1104,2211
1105,1105,2213
1106,1106,2215
1107,1107,2217
1108,1108,2219
1109,1109,2221
1110,1110,2223
1111,1111,2225
1112,1112,2227
1113,1113,2229
1114,1114,2231
1115,1115,2233
1116,1116,2235
1117,1117,2237
1118,1118,2239
1119,1119,2241
1120,1120,2243
1121,1121,2245
1122,1122,2247
1123,1123,2249
1124,1124,2251
1125,1125,2253
1126,1126,2255
1127,1127,2257
1128,1128,2259
1129,1129,2261
1130,1130,2263
1131,1131,2265
1132,1132,2267
1133,1133,2269
1134,1134,2271
1135,1135,2273
1136,1136,2275
1137,1137,2277
1138,1138,2279
1139,1139,2281
1140,1140,2283
1141,1141,2285
1142,1142,2287
1143,1143,2289
1144,1144,2291
1145,1145,2293
1146,1146,2295
1147,1147,2297
1148,1148,2299
1149,1149,2301
1150,1150,2303
1151,1151,2305
1152,1152,2307
1153,1153,2309
1154,1154,2311
1155,1155,2313
1156,1156,2315
1157,1157,2317
1158,1158,2319
1159,1159,2321
1160,1160,2323
1161,1161,2325
1162,1162,2327
1163,1163,2329
1164,1164,2331
1165,1165,2333
1166,1166,2335
1167,1167,2337
1168,1168,2339
1169,1169,2341
1170,1170,2343
1171,1171,2345
1172,1172,2347
1173,1173,2349
1174,1174,2351
1175,1175,2353
1176,1176,2355
1177,1177,2357
1178,1178,2359
1179,1179,2361
1180,1180,2363
1181,1181,2365
1182,1182,2367
1183,1183,2369
1184,1184,2371
1185,1185,2373
1186,1186,2375
1187,1187,2377
1188,1188,2379
1189,1189,2381
1190,1190,2383
1191,1191,2385
1192,1192,2387
1193,1193,2389
1194,1194,2391
1195,1195,2393
1196,1196,2395
1197,1197,2397
1198,1198,2399
1199,1199,2401
1200,1200,2403
1201,1201,2405
1202,1202,2407
1203,1203,2409
1204,1204,2411
1205,1205,2413
1206,1206,2415
1207,1207,2417
1208,1208,2419
1209,1209,2421
1210,1210,2423
1211,1211,2425
1212,1212,2427
1213,1213,2429
1214,1214,2431
1215,1215,2433
1216,1216,2435
1217,1217,2437
1218,1218,2439
1219,1219,2441
1220,1220,2443
1221,1221,2445
1222,1222,2447
1223,1223,2449
1224,1224,2451
1225,1225,2453
1226,1226,2455
1227,1227,2457
1228,1228,2459
1229,1229,2461
1230,1230,2463
1231,1231,2465
1232,1232,2467
1233,1233,2469
1234,1234,2471
1235,1235,2473
1236,1236,2475
1237,1237,2477
1238,1238,2479
1239,1239,2481
1240,1240,2483
1241,1241,2485
1242,1242,2487
1243,1243,2489
1244,1244,2491
1245,1245,2493
1246,1246,2495
1247,1247,2497
1248,1248,2499
1249,1249,2501
1250,1250,2503
1251,1251,2505
1252,1252,2507
1253,1253,2509
1254,1254,2511
1255,1255,2513
1256,1256,2515
1257,1257,2517
1258,1258,2519
1259,1259,2521
1260,1260,2523
1261,1261,2525
1262,1262,2527
1263,1263,2529
1264,1264,2531
1265,1265,2533
1266,1266,2535
1267,1267,2537
1268,1268,2539
1269,1269,2541
1270,1270,2543
1271,1271,2545
1272,1272,2547
1273,1273,2549
1274,1274,2551
1275,1275,2553
1276,1276,2555
1277,1277,2557
1278,1278,2559
1279,1279,2561
1280,1280,2563
1281,1281,2565
1282,1282,2567
1283,1283,2569
1284,1284,2571
1285,1285,2573
1286,1286,2575
1287,1287,2577
1288,1288,2579
1289,1289,2581
1290,1290,2583
1291,1291,2585
1292,1292,2587
1293,1293,2589
1294,1294,2591
1295,1295,2593
1296,1296,2595
1297,1297,2597
1298,1298,2599
1299,1299,2601
1300,1300,2603
1301,1301,2605
1302,1302,2607
1303,1303,2609
1304,1304,2611
1305,1305,2613
1306,1306,2615
1307,1307,2617
1308,1308,2619
1309,1309,2621
1310,1310,2623
1311,1311,2625
1312,1312,2627
1313,1313,2629
1314,1314,2631
1315,1315,2633
1316,1316,2635
1317,1317,2637
1318,1318,2639
1319,1319,2641
1320,1320,2643
1321,1321,2645
1322,1322,2647
1323,1323,2649
1324,1324,2651
1325,1325,2653
1326,1326,2655
1327,1327,2657
1328,1328,2659
1329,1329,2661
1330,1330,2663
1331,1331,2665
1332,1332,2667
1333,1333,2669
1334,1334,2671
1335,1335,2673
1336,1336,2675
1337,1337,2677
1338,1338,2679
1339,1339,2681
1340,1340,2683
1341,1341,2685
1342,1342,2687
1343,1343,2689
1344,1344,2691
1345,1345,2693
1346,1346,2695
1347,1347,2697
1348,1348,2699
1349,1349,2701
1350,1350,2703
1351,1351,2705
1352,1352,2707
1353,1353,2709
1354,1354,2711
1355,1355,2713
1356,1356,2715
1357,1357,2717
1358,1358,2719
1359,1359,2721
1360,1360,2723
1361,1361,2725
1362,1362,2727
1363,1363,2729
1364,1364,2731
1365,1365,2733
1366,1366,2735
1367,1367,2737
1368,1368,2739
1369,1369,2741
1370,1370,2743
1371,1371,2745
1372,1372,2747
1373,1373,2749
1374,1374,2751
1375,1375,2753
1376,1376,2755
1377,1377,2757
1378,1378,2759
1379,1379,2761
1380,1380,2763
1381,1381,2765
1382,1382,2767
1383,1383,2769
1384,1384,2771
1385,1385,2773
1386,1386,2775
1387,1387,2777
1388,1388,2779
1389,1389,2781
1390,1390,2783
1391,1391,2785
1392,1392,2787
1393,1393,2789
1394,1394,2791
1395,1395,2793
1396,1396,2795
1397,1397,2797
1398,1398,2799
1399,1399,2801
1400,1400,2803
1401,1401,2805
1402,1402,2807
1403,1403,2809
1404,1404,2811
1405,1405,2813
1406,1406,2815
1407,1407,2817
1408,1408,2819
1409,1409,2821
1410,1410,2823
1411,1411,2825
1412,1412,2827
1413,1413,2829
1414,1414,2831
1415,1415,2833
1416,1416,2835
1417,1417,2837
1418,1418,2839
1419,1419,2841
1420,1420,2843
1421,1421,2845
1422,1422,2847
1423,1423,2849
1424,1424,2851
1425,1425,2853
1426,1426,2855
1427,1427,2857
1428,1428,2859
1429,1429,2861
1430,1430,2863
1431,1431,2865
1432,1432,2867
1433,1433,2869
1434,1434,2871
1435,1435,2873
1436,1436,2875
1437,1437,2877
1438,1438,2879
1439,1439,2881
1440,1440,2883
1441,1441,2885
1442,1442,2887
1443,1443,2889
1444,1444,2891
1445,1445,2893
1446,1446,2895
1447,1447,2897
1448,1448,2899
1449,1449,2901
1450,1450,2903
1451,1451,2905
1452,1452,2907
1453,1453,2909
1454,1454,2911
1455,1455,2913
1456,1456,2915
1457,1457,2917
1458,1458,2919
1459,1459,2921
1460,1460,2923
1461,1461,2925
1462,1462,2927
1463,1463,2929
1464,1464,2931
1465,1465,2933
1466,1466,2935
1467,1467,2937
1468,1468,2939
1469,1469,2941
1470,1470,2943
1471,1471,2945
1472,1472,2947
1473,1473,2949
1474,1474,2951
1475,1475,2953
1476,1476,2955
1477,1477,2957
1478,1478,2959
1479,1479,2961
1480,1480,2963
1481,1481,2965
1482,1482,2967
1483,1483,2969
1484,1484,2971
1485,1485,2973
1486,1486,2975
1487,1487,2977
1488,1488,2979
1489,1489,2981
1490,1490,2983
1491,1491,2985
1492,1492,2987
1493,1493,2989
1494,1494,2991
1495,1495,2993
1496,1496,2995
1497,1497,2997
1498,1498,2999
1499,1499,3001
1500,1500,3003
1501,1501,3005
1502,1502,3007
1503,1503,3009
1504,1504,3011
1505,1505,3013
1506,1506,3015
1507,1507,3017
1508,1508,3019
1509,1509,3021
1510,1510,3023
1511,1511,3025
1512,1512,3027
1513,1513,3029
1514,1514,3031
1515,1515,3033
1516,1516,3035
1517,1517,3037
1518,1518,3039
1519,1519,3041
1520,1520,3043
1521,1521,3045
1522,1522,3047
1523,1523,3049
1524,1524,3051
1525,1525,3053
1526,1526,3055
1527,1527,3057
1528,1528,3059
1529,1529,3061
1530,1530,3063
1531,1531,3065
1532,1532,3067
1533,1533,3069
1534,1534,3071
1535,1535,3073
1536,1536,3075
1537,1537,3077
1538,1538,3079
1539,1539,3081
1540,1540,3083
1541,1541,3085
1542,1542,3087
1543,1543,3089
1544,1544,3091
1545,1545,3093
1546,1546,3095
1547,1547,3097
1548,1548,3099
1549,1549,3101
1550,1550,3103
1551,1551,3105
1552,1552,3107
1553,1553,3109
1554,1554,3111
1555,1555,3113
1556,1556,3115
1557,1557,3117
1558,1558,3119
1559,1559,3121
1560,1560,3123
1561,1561,3125
1562,1562,3127
1563,1563,3129
1564,1564,3131
1565,1565,3133
1566,1566,3135
1567,1567,3137
1568,1568,3139
1569,1569,3141
1570,1570,3143
1571,1571,3145
1572,1572,3147
1573,1573,3149
1574,1574,3151
1575,1575,3153
1576,1576,3155
1577,1577,3157
1578,1578,3159
1579,1579,3161
1580,1580,3163
1581,1581,3165
1582,1582,3167
1583,1583,3169
1584,1584,3171
1585,1585,3173
1586,1586,3175
1587,1587,3177
1588,1588,3179
1589,1589,3181
1590,1590,3183
1591,1591,3185
1592,1592,3187
1593,1593,3189
1594,1594,3191
1595,1595,3193
1596,1596,3195
1597,1597,3197
1598,1598,3199
1599,1599,3201
1600,1600,3203
1601,1601,3205
1602,1602,3207
1603,1603,3209
1604,1604,3211
1605,1605,3213
1606,1606,3215
1607,1607,3217
1608,1608,3219
1609,1609,3221
1610,1610,3223
1611,1611,3225
1612,1612,3227
1613,1613,3229
1614,1614,3231
1615,1615,3233
1616,1616,3235
1617,1617,3237
1618,1618,3239
1619,1619,3241
1620,1620,3243
1621,1621,3245
1622,1622,3247
1623,1623,3249
1624,1624,3251
1625,1625,3253
1626,1626,3255
1627,1627,3257
1628,1628,3259
1629,1629,3261
1630,1630,3263
1631,1631,3265
1632,1632,3267
1633,1633,3269
1634,1634,3271
1635,1635,3273
1636,1636,3275
1637,1637,3277
1638,1638,3279
1639,1639,3281
1640,1640,3283
1641,1641,3285
1642,1642,3287
1643,1643,3289
1644,1644,3291
1645,1645,3293
1646,1646,3295
1647,1647,3297
1648,1648,3299
1649,1649,3301
1650,1650,3303
1651,1651,3305
1652,1652,3307
1653,1653,3309
1654,1654,3311
1655,1655,3313
1656,1656,3315
1657,1657,3317
1658,1658,3319
1659,1659,3321
1660,1660,3323
1661,1661,3325
1662,1662,3327
1663,1663,3329
1664,1664,3331
1665,1665,3333
1666,1666,3335
1667,1667,3337
1668,1668,3339
1669,1669,3341
1670,1670,3343
1671,1671,3345
1672,1672,3347
1673,1673,3349
1674,1674,3351
1675,1675,3353
1676,1676,3355
1677,1677,3357
1678,1678,3359
1679,1679,3361
1680,1680,3363
1681,1681,3365
1682,1682,3367
1683,1683,3369
1684,1684,3371
1685,1685,3373
1686,1686,3375
1687,1687,3377
1688,1688,3379
1689,1689,3381
1690,1690,3383
1691,1691,3385
1692,1692,3387
1693,1693,3389
1694,1694,3391
1695,1695,3393
1696,1696,3395
1697,1697,3397
1698,1698,3399
1699,1699,3401
1700,1700,3403
1701,1701,3405
1702,1702,3407
1703,1703,3409
1704,1704,3411
1705,1705,3413
1706,1706,3415
1707,1707,3417
1708,1708,3419
1709,1709,3421
1710,1710,3423
1711,1711,3425
1712,1712,3427
1713,1713,3429
1714,1714,3431
1715,1715,3433
1716,1716,3435
1717,1717,3437
1718,1718,3439
1719,1719,3441
1720,1720,3443
1721,1721,3445
1722,1722,3447
1723,1723,3449
1724,1724,3451
1725,1725,3453
1726,1726,3455
1727,1727,3457
1728,1728,3459
1729,1729,3461
1730,1730,3463
1731,1731,3465
1732,1732,3467
1733,1733,3469
1734,1734,3471
1735,1735,3473
1736,1736,3475
1737,1737,3477
1738,1738,3479
1739,1739,3481
1740,1740,3483
1741,1741,3485
1742,1742,3487
1743,1743,3489
1744,1744,3491
1745,1745,3493
1746,1746,3495
1747,1747,3497
1748,1748,3499
1749,1749,3501
1750,1750,3503
1751,1751,3505
1752,1752,3507
1753,1753,3509
1754,1754,3511
1755,1755,3513
1756,1756,3515
1757,1757,3517
1758,1758,3519
1759,1759,3521
1760,1760,3523
1761,1761,3525
1762,1762,3527
1763,1763,3529
1764,1764,3531
1765,1765,3533
1766,1766,3535
1767,1767,3537
1768,1768,3539
1769,1769,3541
1770,1770,3543
1771,1771,3545
1772,1772,3547
1773,1773,3549
1774,1774,3551
1775,1775,3553
1776,1776,3555
1777,1777,3557
1778,1778,3559
1779,1779,3561
1780,1780,3563
1781,1781,3565
1782,1782,3567
1783,1783,3569
1784,1784,3571
1785,1785,3573
1786,1786,3575
1787,1787,3577
1788,1788,3579
1789,1789,3581
1790,1790,3583
1791,1791,3585
1792,1792,3587
1793,1793,3589
1794,1794,3591
1795,1795,3593
1796,1796,3595
1797,1797,3597
1798,1798,3599
1799,1799,3601
1800,1800,3603
1801,1801,3605
1802,1802,3607
1803,1803,3609
1804,1804,3611
1805,1805,3613
1806,1806,3615
1807,1807,3617
1808,1808,3619
1809,1809,3621
1810,1810,3623
1811,1811,3625
1812,1812,3627
1813,1813,3629
1814,1814,3631
1815,1815,3633
1816,1816,3635
1817,1817,3637
1818,1818,3639
1819,1819,3641
1820,1820,3643
1821,1821,3645
1822,1822,3647
1823,1823,3649
1824,1824,3651
1825,1825,3653
1826,1826,3655
1827,1827,3657
1828,1828,3659
1829,1829,3661
1830,1830,3663
